"setting","grid_label","nx","ny","n","rep","status","error_message","loglik_matern","loglik_iid","delta","selection","est_range","est_sigma","est_beta","range_over_mesh","iid_mean","iid_sigma","surface_rmse","surface_corr"
"smooth_truth","18x14",18,14,252,1,"ok",NA,-63.779204227102,-151.725510787687,87.9463065605849,"matern",0.315753559981205,0.424212536526173,0.102264215507567,3.94691949976506,0.205324501881086,0.415577592700234,0.124032018182846,0.958752025664091
"smooth_truth","18x14",18,14,252,2,"ok",NA,-45.1409132232957,-74.2776542794698,29.1367410561741,"matern",0.174003756204769,0.276303084699844,0.217427064360723,2.17504695255961,0.205368498300956,0.288220345751997,0.121774899670561,0.910453105761671
"smooth_truth","18x14",18,14,252,3,"ok",NA,-64.4088617808838,-122.205351269108,57.7964894882238,"matern",0.212584581682934,0.340540570413517,0.271015638017518,2.65730727103667,0.242226014816274,0.363226167452747,0.131922413454421,0.935179234638475
"smooth_truth","18x14",18,14,252,4,"ok",NA,-77.4926166183048,-123.330765195052,45.8381485767472,"matern",0.18351162848749,0.339277521206457,0.182365054687111,2.29389535609362,0.200792073786971,0.365128474138852,0.123911915536089,0.940595595836606
"smooth_truth","18x14",18,14,252,5,"ok",NA,-69.3063112404111,-104.241454256213,34.9351430158018,"matern",0.171828298575393,0.316899407075515,0.310627167296013,2.14785373219241,0.341216441758767,0.333786063550888,0.128790971381223,0.925244903789107
"smooth_truth","18x14",18,14,252,6,"ok",NA,-68.7881210896013,-106.828480578341,38.0403594887398,"matern",0.169912398651656,0.308848862207693,0.136363072333326,2.12390498314571,0.132117178842665,0.337921929638253,0.128995657401583,0.925913676995563
"smooth_truth","24x18",24,18,432,1,"ok",NA,-71.8845600447923,-237.788914049351,165.904354004558,"matern",0.22149505715668,0.370964479993213,0.241161951065945,2.76868821445851,0.220687434945171,0.391851143639268,0.122531489941522,0.95270051304475
"smooth_truth","24x18",24,18,432,2,"ok",NA,-23.8990173691894,-158.681293221015,134.782275851825,"matern",0.212853801621716,0.302395980598325,0.11914947022185,2.66067252027145,0.130465870575432,0.315531882308533,0.116308373952792,0.932332415539243
"smooth_truth","24x18",24,18,432,3,"ok",NA,-71.1277080603207,-196.308638428362,125.180930368042,"matern",0.175730216720409,0.31353104953786,0.13450421213883,2.19662770900511,0.119661042893172,0.350410614426311,0.120577919723954,0.938417333274762
"smooth_truth","24x18",24,18,432,4,"ok",NA,-44.6766658077279,-205.899671790203,161.223005982475,"matern",0.257117369880988,0.359251477584824,0.31295207033503,3.21396712351235,0.34776388513644,0.359699953842822,0.112819172973081,0.949500588602323
"smooth_truth","24x18",24,18,432,5,"ok",NA,-51.7691893410286,-185.670490512303,133.901301171274,"matern",0.201004265677218,0.315626196286011,0.340899542509488,2.51255332096523,0.32877605289336,0.340301832148418,0.123756079183816,0.938657758486837
"smooth_truth","24x18",24,18,432,6,"ok",NA,-23.2288196983237,-155.983542580149,132.754722881825,"matern",0.213207251220165,0.304968942017354,0.297238928114177,2.66509064025207,0.333025784762613,0.313121597752777,0.111113309700812,0.939906941778617
"iid_truth","18x14",18,14,252,1,"ok",NA,-106.907902676372,-106.829748044046,-0.0781546323256066,"iid",0.00458027631705265,2.83935882391783,0.195473333434337,0.0572534539631581,0.19840050602381,0.337923702681812,0.143874803143743,0.915232263807084
"iid_truth","18x14",18,14,252,2,"ok",NA,-101.107108413529,-100.68936653659,-0.417741876939317,"iid",0.0204363240084197,0.665971750976289,0.159358385425094,0.255454050105247,0.160823053785673,0.328162586552633,0.128705584831838,0.936807874544716
"iid_truth","18x14",18,14,252,3,"ok",NA,-103.119313562008,-103.582977478146,0.463663916137676,"matern",0.0293692849746257,0.504106650315548,0.23061118513602,0.367116062182821,0.228878567975239,0.332738830959339,0.13713943555595,0.916227541307
"iid_truth","18x14",18,14,252,4,"ok",NA,-125.59823349092,-125.907240949857,0.30900745893706,"matern",0.00268327710855778,5.2788660655844,0.171366630351518,0.0335409638569722,0.170538796424425,0.369510242254442,0.135305903786034,0.932128302420473
"iid_truth","18x14",18,14,252,5,"ok",NA,-120.687286998718,-121.403937032648,0.716650033930549,"matern",0.00380517427707588,3.64458485815388,0.194615855133801,0.0475646784634486,0.195026485922018,0.36187581249663,0.137340080502064,0.921673432969255
"iid_truth","18x14",18,14,252,6,"ok",NA,-119.506830310204,-118.647183375514,-0.859646934690943,"iid",0.0308895831191278,0.524497045475588,0.223816986043268,0.386119788989097,0.221322292625209,0.357257811702621,0.141984239114224,0.922964171800886
"iid_truth","24x18",24,18,432,1,"ok",NA,-188.651684437005,-187.026076864559,-1.62560757244634,"iid",0.00144866187183052,9.55395032152623,0.191067979603347,0.0181082733978816,0.189257752222696,0.341578761457676,0.135280862015365,0.915559394480291
"iid_truth","24x18",24,18,432,2,"ok",NA,-195.597285547478,-193.713640716049,-1.88364483142931,"iid",0.0218338962450049,0.707172574190068,0.185641422114804,0.272923703062561,0.185895634107241,0.347925957087213,0.140188035804883,0.914892988902863
"iid_truth","24x18",24,18,432,3,"ok",NA,-173.498252765659,-172.479897126792,-1.01835563886681,"iid",0.0118570769810717,1.15108160554622,0.207918499689848,0.148213462263397,0.207550040594527,0.328042806654147,0.14653250360686,0.904861781828923
"iid_truth","24x18",24,18,432,4,"ok",NA,-209.74201425987,-210.107539143164,0.365524883293972,"matern",0.0117634959977415,1.28255380497497,0.21123765917593,0.147043699971769,0.212582654765597,0.363829488605054,0.137096203535491,0.924226808798997
"iid_truth","24x18",24,18,432,5,"ok",NA,-194.694070654244,-194.729365257121,0.0352946028762631,"matern",0.0069042777005547,2.05987355056513,0.185982294591831,0.0863034712569337,0.185758058672801,0.348896985520497,0.133874737751678,0.925179410042335
"iid_truth","24x18",24,18,432,6,"ok",NA,-189.23436201953,-192.15296749124,2.91860547170947,"matern",0.0323589818365323,0.517228703923086,0.193703828484605,0.404487272956654,0.193752976643888,0.346437576598593,0.136498641571628,0.924262895483693
